순번,시도본부,소방서명,119안전센터명,주소,전화번호,팩스번호
131,부산광역시,기장소방서,송정119안전센터,부산광역시 해운대구 송정중앙로15번길 16(송정동),051-760-5432,051-760-5439
132,부산광역시,기장소방서,일광119안전센터,부산광역시 기장군 일광읍 해빛5로 15,051-760-5422,051-760-5429
133,부산광역시,기장소방서,장안119안전센터,부산광역시 기장군 기장읍 길천3길 11,051-760-5442,051-760-5449
134,부산광역시,기장소방서,정관119안전센터,부산광역시 기장군 정관읍 용수로 7(정관읍),051-760-5412,051-760-5419
135,부산광역시,남부소방서,감만119안전센터,부산광역시 남구 우암로 81(감만동),051-760-6822,051-760-6829
136,부산광역시,남부소방서,광안119안전센터,부산광역시 수영구 광일로 64(광안동),051-760-6812,051-760-6819
137,부산광역시,남부소방서,대연119안전센터,부산광역시 남구 수영로 279(대연동),051-760-6832,051-760-6839
138,부산광역시,남부소방서,망미119안전센터,부산광역시 수영구 연수로 330(망미동),051-760-6842,051-760-6849
139,부산광역시,남부소방서,용당119안전센터,부산광역시 남구 신선로 398(용당동),051-760-6852,051-760-6859
140,부산광역시,동래소방서,사직119안전센터,부산광역시 동래구 체육공원로 74(사직동),051-760-6352,051-760-6359
141,부산광역시,동래소방서,수안119안전센터,부산광역시 동래구 명륜로45번길 7(수안동),051-760-6322,051-760-6329
142,부산광역시,동래소방서,양정119안전센터,부산광역시 부산진구 연수로 50(양정동),051-760-6342,051-760-6349
143,부산광역시,동래소방서,연산119안전센터,부산광역시 연제구 고분로 216(연산동),051-760-6312,051-760-6319
144,부산광역시,동래소방서,온천119안전센터,부산광역시 동래구 우장춘로 196(온천동),051-760-6332,051-760-6339
145,부산광역시,부산진소방서,가야119안전센터,부산광역시 부산진구 가야대로 627(가야동),051-760-6241,051-760-6249
146,부산광역시,부산진소방서,당감119안전센터,부산광역시 부산진구 백양산로53번길 65(당감동),051-760-6261,051-760-6269
147,부산광역시,부산진소방서,범일119안전센터,부산광역시 동구 범일로 115(범일동),051-760-6221,051-760-6229
148,부산광역시,부산진소방서,부암119안전센터,부산광역시 부산진구 신천대로 282(부암동),051-760-6251,051-760-6259
149,부산광역시,부산진소방서,부전119안전센터,부산광역시 부산진구 서전로 43(전포동),051-760-6211,051-760-6219
150,부산광역시,부산진소방서,수정119안전센터,부산광역시 동구 중앙대로 383-1(수정동),051-760-6231,051-760-6239
151,부산광역시,부산진소방서,안창119안전센터,부산광역시 동구 안창로 62(범일동),051-760-6271,051-760-6279
152,부산광역시,북부소방서,구포119안전센터,부산광역시 북구 만덕대로 31(덕천동),051-760-5322,051-760-5329
153,부산광역시,북부소방서,금곡119안전센터,부산광역시 북구 금곡대로 680(금곡동),051-760-5312,051-760-5319
154,부산광역시,북부소방서,만덕119안전센터,부산광역시 북구 함박봉로 142(만덕동),051-760-5342,051-760-5349
155,부산광역시,북부소방서,화명119안전센터,부산광역시 북구 금곡대로 184(화명동),051-760-5332,051-760-5339
156,부산광역시,사상소방서,감전119안전센터,부산광역시 사상구 가야대로 41(감전동),051-760-6422,051-760-6429
157,부산광역시,사상소방서,모라119안전센터,부산광역시 사상구 백양대로 950(모라동),051-760-6472,051-760-6479
158,부산광역시,사상소방서,삼락119안전센터,부산광역시 사상구 낙동대로 1422(삼락동),051-760-6412,051-760-6419
159,부산광역시,사상소방서,주례119안전센터,부산광역시 사상구 양지로22(주례동),051-760-6462,051-760-6469
160,부산광역시,사상소방서,학장119안전센터,부산광역시 사상구 학감대로 89(학장동),051-760-6482,051-760-6489
161,부산광역시,사하소방서,감천119안전센터,부산광역시 사하구 원양로 405(감천동),051-760-6552,051-760-6559
162,부산광역시,사하소방서,괴정119안전센터,부산광역시 사하구 낙동대로 262(괴정동),051-760-6522,051-760-6529
163,부산광역시,사하소방서,다대119안전센터,부산광역시 사하구 다대로 622(다대동),051-760-6542,051-760-6549
164,부산광역시,사하소방서,신평119안전센터,부산광역시 사하구 장평로 270(신평동),051-760-6512,051-760-6519
165,부산광역시,사하소방서,하단119안전센터,부산광역시 사하구 낙동남로 1407(하단동),051-760-6532,051-760-6539
166,부산광역시,중부소방서,부민119안전센터,부산광역시 서구 임시수도기념로 21-4(부민동3가),051-760-6122,051-760-6129
167,부산광역시,중부소방서,중앙119안전센터,부산광역시 중구 중앙대로 110(중앙동4가),051-760-6112,051-760-6119
168,부산광역시,중부소방서,창선119안전센터,부산광역시 중구 대청로 68-1(부평동1가),051-760-6142,051-760-6149
169,부산광역시,중부소방서,초량119안전센터,부산광역시 동구 중앙대로 260번길 7(초량동),051-760-6152,051-760-6159
170,부산광역시,중부소방서,충무119안전센터,부산광역시 서구 충무대로 186(남부민동),051-760-6131,051-760-6139
171,부산광역시,항만소방서,동삼119안전센터,부산광역시 영도구 해양로 297(동삼동),051-760-6912,051-760-6919
172,부산광역시,항만소방서,부두119안전센터,부산광역시 동구 충장대로 286(좌천동),051-760-6932,051-760-6939
173,부산광역시,항만소방서,영선119안전센터,부산광역시 영도구 태종로 115(영선동1가),051-760-6922,051-760-6929
174,부산광역시,항만소방서,청학119안전센터,부산광역시 영도구 태종로 274(청학동),051-760-6942,051-760-6949
175,부산광역시,해운대소방서,반송119안전센터,부산광역시 해운대구 아랫반송로 10(반송동),051-760-6662,051-760-6669
176,부산광역시,해운대소방서,반여119안전센터,부산광역시 해운대구 선수촌로 21번길 64(반여동),051-760-6632,051-760-6639
177,부산광역시,해운대소방서,센텀119안전센터,부산광역시 해운대구 센텀동로 50(우동),051-760-6652,051-760-6659
178,부산광역시,해운대소방서,우동119안전센터,부산광역시 해운대구 해운대해변로 106(우동),051-760-6612,051-760-6619
179,부산광역시,해운대소방서,좌동119안전센터,부산광역시 해운대구 대천로67번길 35(좌동),051-760-6642,051-760-6649
180,부산광역시,해운대소방서,중동119안전센터,부산광역시 해운대구 달맞이길 117번길 72(중동),051-760-6622,051-760-6629
181,대구광역시,강북소방서,구암119안전센터,대구광역시 북구 구암서로 71,053-607-5931,053-609-5939
182,대구광역시,강북소방서,군위119안전센터,대구광역시 군위군 군위읍 군위공단길 65,053-607-5981,
183,대구광역시,강북소방서,금호119안전센터,대구광역시 북구 한강로 105,053-607-5882,053-314-0119
184,대구광역시,강북소방서,무태119안전센터,대구광역시 북구 호국로43길 21,053-607-5961,053-952-2119
185,대구광역시,강북소방서,읍내119안전센터,대구광역시 북구 칠곡중앙대로 570,053-607-5941,053-321-0119
186,대구광역시,강북소방서,의흥119안전센터,대구광역시 군위군 의흥면 읍내길 23,053-607-5991,
187,대구광역시,강북소방서,태전119안전센터,대구광역시 북구 칠곡중앙대로 184,053-607-5951,053-312-0119
188,대구광역시,강서소방서,다사119안전센터,대구광역시 달성군 다사읍 달구벌대로 920,053-601-5621,053-587-4119
189,대구광역시,강서소방서,대천119안전센터,대구광역시 달서구 달서대로58길 129,053-601-5650,053-584-0120
190,대구광역시,강서소방서,매곡119안전센터,대구광역시 달성군 다사읍 달구벌대로 753,053-601-5661,053-591-0119
191,대구광역시,강서소방서,성서119안전센터,대구광역시 달서구 성서로 357,053-601-5631,053-583-0120
192,대구광역시,달서소방서,도원119안전센터,대구광역시 달서구 도원로 8,053-607-2970,053-636-8110
193,대구광역시,달서소방서,본리119안전센터,대구광역시 달서구 대명천로 134,053-607-2950,053-625-0119
194,대구광역시,달서소방서,송현119안전센터,대구광역시 달서구 월배로 262,053-607-2960,053-632-1990
195,대구광역시,달서소방서,월성119안전센터,대구광역시 달서구 학산로 75,053-607-2930,053-635-0228
196,대구광역시,달서소방서,죽전119안전센터,대구광역시 달서구 와룡로 222,053-607-2990,053-563-0120
197,대구광역시,달성소방서,구지119안전센터,대구광역시 달성군 구지면 달성2차로 111,053-602-4970,053-611-1197
198,대구광역시,달성소방서,논공119안전센터,대구광역시 달성군 논공읍 논공중앙로33길 5,053-602-4950,053-615-6119
199,대구광역시,달성소방서,옥포119안전센터,대구광역시 달성군 옥포읍 돌미로 93,053-602-4980,053-615-9195
200,대구광역시,달성소방서,현풍119안전센터,대구광역시 달성군 현풍읍 비슬로 480,053-602-4930,053-670-5426
201,대구광역시,달성소방서,화원119안전센터,대구광역시 달성군 화원읍 화암로 122,053-602-4960,053-639-2119
202,대구광역시,동부소방서,공산119안전센터,대구광역시 동구 팔공산로 1579,053-605-5361,053-982-5119
203,대구광역시,동부소방서,동촌119안전센터,대구광역시 동구 해동로 180,053-605-5331,053-985-9119
204,대구광역시,동부소방서,불로봉무119안전센터,대구광역시 동구 팔공로50길 19,053-605-5351,053-982-6119
205,대구광역시,동부소방서,신천119안전센터,대구광역시 동구 효신로 13,053-605-5321,053-755-3119
206,대구광역시,동부소방서,안심119안전센터,대구광역시 동구 매여로 102,053-605-5341,053-961-4119
207,대구광역시,동부소방서,혁신119안전센터,대구광역시 동구 각산동 1022,053-605-5371,053-964-8911
208,대구광역시,북부소방서,노원119안전센터,대구광역시 북구 노원로 42,053-350-5751,053-350-5729
209,대구광역시,북부소방서,대현119안전센터,대구광역시 북구 대현로 105,053-350-5770,053-350-5779
210,대구광역시,북부소방서,산격119안전센터,대구광역시 북구 유통단지로8길 88,053-350-5791,053-350-5799
211,대구광역시,북부소방서,칠성119안전센터,대구광역시 북구 칠성남로 112,053-350-5721,053-350-5729
212,대구광역시,북부소방서,침산119안전센터,대구광역시 북구 침산남로 149,053-350-5749,053-353-0119
213,대구광역시,서부소방서,내당119안전센터,대구광역시 서구 서대구로3길 16,053-320-4495,053-557-0119
214,대구광역시,서부소방서,비산119안전센터,대구광역시 서구 달서로 206,053-320-4496,053-565-5119
215,대구광역시,서부소방서,이현119안전센터,대구광역시 서구 국채보상로 119,053-320-4493,053-552-0119
216,대구광역시,서부소방서,평리119안전센터,대구광역시 서구 달서천로 186,053-320-4492,053-352-8953
217,대구광역시,수성소방서,가창119안전센터,대구광역시 달성군 가창면 가창로 547,053-607-3900,050-2671-0119
218,대구광역시,수성소방서,고산119안전센터,대구광역시 수성구 고산로 105,053-607-3890,050-2671-0119
219,대구광역시,수성소방서,만촌119안전센터,대구광역시 수성구 달구벌대로 2658,053-607-3840,050-2671-0119
220,대구광역시,수성소방서,무열로119안전센터,대구광역시 수성구 무열로 139,053-607-3880,050-2671-0119
221,대구광역시,수성소방서,범물119안전센터,대구광역시 수성구 청호로 87,053-607-3820,053-607-3839
222,대구광역시,수성소방서,상동119안전센터,대구광역시 수성구 파동로51길 5,053-607-3860,050-2671-0119
223,대구광역시,수성소방서,수성119안전센터,대구광역시 수성구 들안로60길 30,053-607-3870,050-2671-0119
224,대구광역시,수성소방서,황금119안전센터,대구광역시 수성구 동대구로12길 41,053-607-3850,050-2671-0119
225,대구광역시,중부소방서,남산119안전센터,대구광역시 중구 달구벌대로 1926,053-601-4571,053-255-2377
226,대구광역시,중부소방서,대신119안전센터,대구광역시 중구 큰장로26길 45,053-601-4574,053-255-0020
227,대구광역시,중부소방서,명덕119안전센터,대구광역시 남구 명덕로34길 22,053-601-4577,053-657-2006
228,대구광역시,중부소방서,봉덕119안전센터,대구광역시 남구 희망로3길 29,053-601-4573,053-472-3008
229,대구광역시,중부소방서,삼덕119안전센터,대구광역시 중구 공평로 35,053-601-4575,053-426-3007
230,대구광역시,중부소방서,서문로119안전센터,대구광역시 중구 경상감영길 45,053-601-4572,053-253-3008
231,대구광역시,중부소방서,성명119안전센터,대구광역시 남구 대명남로 12-1,053-601-4578,053-657-2330
232,인천광역시,강화소방서,강화119안전센터,인천광역시 강화군 강화읍 남문로23번길 11,032-930-5894,032-930-0580
233,인천광역시,강화소방서,길상119안전센터,인천광역시 강화군 길상면 마니산로 93,032-930-5822,032-930-5899
234,인천광역시,강화소방서,내가119안전센터,인천광역시 강화군 내가면 강화서로 235-1,032-930-5823,032-933-9919
235,인천광역시,강화소방서,불은119안전센터,인천광역시 강화군 불은면 중앙로 505,032-930-5811,032-930-5812
236,인천광역시,검단소방서,마전119안전센터,인천광역시 서구 원당대로736,032-590-2715,032-590-2789
